Year,Reg,Group,Sex,PopD5a0,PopD5a1,PopD5a5,PopD5a10,PopD5a15,PopD5a20,PopD5a25,PopD5a30,PopD5a35,PopD5a40,PopD5a45,PopD5a50,PopD5a55,PopD5a60,PopD5a65,PopD5a70,PopD5a75,PopD5a80,PopD5a85
2015,1178,T,M,7807,30569,33100,29824,27557,33295,50538,50185,46569,43318,38209,41651,40894,35306,25650,11601,14219,5734,3794
2015,1178,T,F,7420,28471,31870,28091,25961,34440,51075,50406,47850,46134,42589,50387,55393,54908,43896,26102,38780,20090,18099
2015,1178,U,B,12701,47832,53469,47382,44288,57210,85105,84973,79560,74743,65484,73106,75991,72293,56545,30208,41933,19551,17013
2015,1178,U,M,6523,24779,27309,24379,22779,27788,41606,41699,38950,35838,30666,32254,31193,27441,20224,9110,10893,4222,3015
2015,1178,U,F,6179,23053,26160,23003,21509,29422,43499,43275,40611,38906,34819,40852,44799,44852,36321,21098,31040,15329,13998
2015,1178,R,B,2525,11208,11501,10533,9230,10525,16508,15618,14858,14708,15314,18932,20295,17922,13001,7496,11066,6273,4879
2015,1178,R,M,1284,5790,5791,5445,4778,5507,8933,8486,7619,7480,7544,9397,9701,7865,5426,2491,3326,1512,779
2015,1178,R,F,1241,5419,5710,5088,4452,5018,7576,7132,7239,7228,7771,9535,10594,10057,7575,5005,7741,4761,4101
2015,1145,T,B,137302,509931,518052,487212,471647,642482,1076128,1120256,1015255,940228,834940,932594,909481,745524,634590,361267,461882,237072,228022
2015,1145,T,M,70902,262778,265089,248984,237320,316339,524426,541062,494265,463526,404714,435832,403160,311831,252854,138117,155930,72363,61761
2015,1145,T,F,66400,247153,252963,238229,234327,326143,551702,579195,520990,476703,430226,496763,506321,433693,381736,223150,305952,164709,166262
2015,1145,U,B,135168,503670,510462,480593,465757,634622,1063242,1106930,1003409,930089,825822,921702,898070,735992,627715,357408,456370,234201,225477
2015,1145,U,M,69826,259600,261205,245557,234276,311967,517639,534583,488368,458479,400218,430620,397998,307722,250064,136783,154275,71630,61285
2015,1145,U,F,65343,244070,249257,235036,231482,322655,545603,572348,515041,471610,425604,491083,500072,428270,377651,220625,302095,162571,164192
2015,1145,R,B,2134,6261,7591,6620,5890,7860,12887,13326,11847,10140,9118,10892,11411,9533,6875,3860,5512,2871,2546
2015,1145,R,M,1077,3178,3884,3427,3044,4372,6787,6479,5897,5047,4497,5212,5162,4110,2791,1335,1655,733,476
2015,1145,R,F,1057,3083,3707,3193,2846,3488,6100,6847,5950,5093,4622,5680,6249,5423,4085,2525,3857,2138,2070
2015,3100,T,B,171172,644707,675593,613433,580162,813617,1206251,1191949,1072342,984177,877621,1024755,1067154,926924,701773,342700,490049,255288,208964
2015,3100,T,M,88084,331823,346616,314196,301400,431599,623649,604673,533690,483144,418686,467880,456247,367200,260292,112600,140159,62071,41776
2015,3100,T,F,83088,312884,328977,299237,278762,382018,582602,587276,538652,501033,458935,556875,610907,559724,441482,230100,349890,193217,167188
2015,3100,U,B,145747,536039,560890,507603,492271,710671,1042332,1027612,919379,840110,733985,841558,868778,762404,591715,285562,404966,204246,172821
2015,3100,U,M,74989,275979,287794,260080,254072,370218,530655,514711,452240,408354,346682,377012,362266,294947,215166,93251,115038,49731,35199
2015,3100,U,F,70758,260061,273096,247523,238199,340454,511677,512901,467140,431757,387303,464546,506513,467457,376549,192311,289928,154515,137622
2015,3100,R,B,25425,108668,114703,105831,87891,102946,163919,164337,152963,144067,143637,183197,198376,164520,110059,57138,85083,51042,36143
2015,3100,R,M,13095,55845,58822,54116,47328,61382,92994,89962,81451,74791,72005,90869,93981,72253,45126,19349,25121,12340,6577
2015,3100,R,F,12330,52824,55881,51715,40564,41565,70925,74375,71513,69276,71632,92329,104395,92267,64933,37789,59962,38703,29566
2015,1186,T,B,7798,31003,34906,32116,28395,31901,48914,50132,48298,45879,40119,47736,50853,45404,31525,14932,21407,12013,7877
2015,1186,T,M,4003,15952,17848,16493,14420,15895,25118,25515,24067,22412,18930,21929,21760,17841,11451,4648,5532,2570,1427
2015,1186,T,F,3795,15051,17058,15624,13975,16006,23797,24617,24232,23467,21190,25807,29094,27564,20075,10285,15875,9443,6450
2015,1186,U,B,6202,23846,28430,25532,24006,28036,41943,42571,39906,37163,31211,35881,37236,34218,24727,11577,16106,8737,6080
2015,1186,U,M,3183,12273,14627,13082,12061,13539,20950,21362,19547,17972,14525,15972,15335,13038,8815,3614,4208,1897,1105
2015,1186,U,F,3019,11574,13803,12450,11945,14497,20993,21209,20359,19191,16686,19909,21901,21180,15912,7963,11898,6841,4976
2015,1186,R,B,1596,7157,6476,6584,4390,3865,6972,7561,8392,8716,8908,11855,13617,11187,6799,3356,5301,3276,1797
2015,1186,R,M,820,3680,3221,3411,2359,2356,4168,4154,4520,4440,4405,5957,6425,4803,2636,1034,1324,674,323
